                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6283,                 3.7354,                 1.3594,                  0.003,                    0.9,                0.32318,                0.07872,                 1.2706,                 7.0165,                0.71026,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.1116,                 3.1286,                 1.0665,                0.00333,                      1,                0.84349,                0.24528,                0.79803,                 6.4142,                0.53501,              9.505e-05,              9.505e-05,              9.505e-05
                      3,                 1.0118,                 2.3647,                0.98455,                0.00333,                      1,                0.91722,                0.19917,                0.85117,                 5.9902,                0.52718,             0.00014416,             0.00014416,             0.00014416
                      4,                 1.0508,                 1.8387,                0.97886,                0.90288,                    0.8,                0.88493,                0.23856,                0.87423,                 5.9215,                0.53166,             0.00018733,             0.00018733,             0.00018733
                      5,                0.97536,                 1.7616,                0.96415,                0.75204,                    0.7,                0.76468,                0.28243,                0.98103,                 6.1257,                0.56956,             0.00022456,             0.00022456,             0.00022456
                      6,                 1.0216,                 2.1515,                 1.0134,                0.00637,                0.74675,                0.69697,                0.25562,                  1.015,                 6.3148,                0.59903,             0.00025585,             0.00025585,             0.00025585
                      7,                 1.2054,                 1.9728,                0.99527,                0.00333,                      1,                0.79613,                0.27432,                 1.0684,                 6.3271,                0.60772,              0.0002812,              0.0002812,              0.0002812
                      8,                0.96663,                 1.8615,                0.98344,                0.00333,                      1,                0.79593,                0.29483,                  1.099,                 6.2867,                0.62986,             0.00030061,             0.00030061,             0.00030061
                      9,                0.84986,                 1.6543,                0.92778,                0.00333,                      1,                0.79606,                0.24022,                 1.0507,                 6.3513,                0.62791,             0.00031408,             0.00031408,             0.00031408
                     10,                0.89238,                 1.4249,                0.93915,                0.00267,                    0.8,                0.77528,                0.21309,                   1.03,                 6.3925,                0.63408,             0.00032161,             0.00032161,             0.00032161
                     11,                0.72138,                 2.0036,                 0.8971,                  0.003,                    0.9,                 0.7847,                0.23537,                 1.0275,                 6.4822,                0.63879,              0.0003232,              0.0003232,              0.0003232
                     12,                0.76784,                 1.8373,                0.92622,                  0.003,                    0.9,                0.76229,                0.25801,                 1.0793,                 6.6433,                 0.6568,             0.00031885,             0.00031885,             0.00031885
                     13,                0.80865,                 1.7942,                0.87967,                  0.003,                    0.9,                0.69555,                0.24519,                0.94494,                 6.8258,                0.66611,             0.00030856,             0.00030856,             0.00030856
                     14,                0.82325,                 1.8561,                0.90402,                  0.003,                    0.9,                0.71749,                0.21493,                0.91361,                   6.83,                0.68393,             0.00029233,             0.00029233,             0.00029233
                     15,                0.80627,                 1.7943,                0.87102,                0.86369,                    0.8,                0.78518,                 0.2376,                0.90411,                 6.5171,                0.64466,             0.00027016,             0.00027016,             0.00027016
                     16,                0.74734,                 1.7134,                0.89923,                      1,                0.68292,                0.88567,                0.25142,                0.91937,                 6.3285,                0.62276,             0.00024205,             0.00024205,             0.00024205
                     17,                0.74046,                 1.7077,                0.83751,                      1,                0.68726,                0.87757,                0.24916,                0.90566,                 5.9202,                0.59886,               0.000208,               0.000208,               0.000208
                     18,                0.61263,                 1.5383,                0.88289,                      1,                0.78627,                0.89578,                0.27244,                0.85943,                 5.6304,                0.58894,             0.00016801,             0.00016801,             0.00016801
                     19,                0.65492,                 1.5635,                0.84894,                      1,                0.83888,                0.89576,                 0.2693,                 0.8537,                 5.3846,                0.57385,             0.00012208,             0.00012208,             0.00012208
                     20,                0.69892,                 1.5678,                0.88909,                0.99082,                    0.9,                0.89575,                0.28143,                0.83078,                 5.2435,                0.57144,              7.021e-05,              7.021e-05,              7.021e-05
